kTRBeltShort,Belt,Лента,Bande,Band,Cinta 
kTRNS,"N, S","С, Ю","N, S","N, S","N, S"
kTRNE,"N, E","С, В","N, E","N, O","N, E"
kTRES,"E, S","В, Ю","E, S","O, S","E, S"
kTRSW,"S, W","Ю, З","S, O","S, W","S, O"
kTRWN,"W, N","З, С","O, N","W, N","O, N"
kTRWNE,"W, N, E","З, С, В","O, N, E","W, N, O","O, N, E"
kTRNES,"N, E, S","С, В, Ю","N, E, S","N, O, S","N, E, S"
kTRESW,"E, S, W","В, Ю, З","E, S, O","O, S, W","E, S, O"
kTRSWN,"S, W, N","Ю, З, С","S, O, N","S, W, N","S, O, N"
kTRObstructedGroundHelp1,Obstructed ground cannot be built on.,Здесь нельзя строить.,Le sol obstrué ne peut pas être construit.,Versperrtes gelände kann nicht bebaut werden.,El terreno obstruido no se puede construir.
kTRObstructedGroundHelp2,Maybe you will be able to clear it later on?,"Возможно, в будущем тут что-то появится.",Peut-être pourrez-vous l'effacer plus tard?,Vielleicht kannst du es später löschen?,¿Tal vez puedas borrarlo más tarde?
kTRPlaceMode,Place Mode,Режим установки,Mode Placement,Platzmodus,Colocación
kTRPlantMode,Plant Mode,Режим посадки,Mode Plantation,Pflanzenmodus,Plantando
kTRBuildMode,Build Mode,Режим постройки,Construction,Baumodus,Construcción
kTRPickupMode,Pickup Mode,Режим подбора,Ramassage,Abholmodus,Recoger
kTRInventoryMode,Inventory,Инвентарь,Inventaire,Inventar,Inventario
kTRInspectMode,Inspect,Детали,Inspecter,Inspektionsmodus,Inspeccionar
kTRDestroyMode,Deconstruction,Разрушение,Déconstruction,Dekonstruktion,Deconstrucción
kTRNewCrop,New Crop!,Новый урожай!,Nouvelle Récolte!,Neue Ernte!,¡Nueva Planta!
kTRNewConveyor,New Conveyor!,Новый конвейер!,Nouvaue Bande Transp.!,Neues Förderband!,¡Nuevo Transportador!
kTRNewExtractor,New Harvester!,Новый харвестер!,Nouveau Extracteur!,Neue Auszieher!,¡Nuevo Extractor!
kTRNewFactory,New Factory!,Новая фабрика!,Nouvelle Usine!,Neue Fabrik!,¡Nueva Fábrica!
kTRNewUtility,New Utility!,Новая утилита!,Nouvel Utilitaire!,Neues Dienstprogramm!,Nueva Utilidad!
kTRUICatToolPlural,Tools,Инструменты,Outils,Werkzeug,Herramientas
kTRUICatTool,Tool,Инструмент,Outil,Werkzeug,Herramienta
kTRUICatPlantPlural,Crops,Рассада,Végétaux,Pflanzen,Cultivos
kTRUICatPlant,Crop,Рассада,Végétau,Pflanzen,Cultivo
kTRUICatConvPlural,Conveyors,Конвейеры,Transporteuses,Förderbänder,Transportadores
kTRUICatConv,Conveyor,Конвейер,Transporteuse,Förderband,Transportador
kTRUICatExtractorPlural,Harvesters,Харвестеры,Extracteures,Auszieher,Extractores
kTRUICatExtractor,Harvester,Харвестер,Extracteur,Auszieher,Extractor
kTRUICatFactoryPlural,Factories,Фабрики,Usines,Fabriken,Fábricas
kTRUICatFactory,Factory,Фабрика,Usine,Fabrik,Fábrica
kTRUICatUtilityPlural,Utilities,Утилиты,Utilitaires,Dienstprogramme,Utilidades
kTRUICatUtility,Utility,Утилита,Utilitaire,Dienstprogramm,Utilidad
kTRUICatCargoPlural,Cargo,Товар,Cargaisons,Fracht,Carga
kTRUICatCargo,Cargo,Товар,Cargaison,Fracht,Carga
kTRUICatWarpPlural,Plot Locations,Участки,Parcelles de Terrain,Handlungsorte,Parcelas
kTRUICatWarp,Plot Locations,Участок,Parcelles de Terrain,Handlungsorte,Parcelas
kTRUICatImportNPlural,Import (North),Импорт (север),Importation (Nord),Import (Norden),Importación (Norte)
kTRUICatImportN,Import (North),Импорт (север),Importation (Nord),Import (Norden),Importación (Norte)
kTRUICatImportEPlural,Import (East),Импорт (восток),Importation (Est),Import (Ost),Importación (Este)
kTRUICatImportE,Import (East),Импорт (восток),Importation (Est),Import (Ost),Importación (Este)
kTRUICatImportSPlural,Import (South),Импорт (юг),Importation (Sud),Import (Süd),Importación (Sur)
kTRUICatImportS,Import (South),Импорт (юг),Importation (Sud),Import (Süd),Importación (Sur)
kTRUICatImportWPlural,Import (West),Импорт (запад),Importation (Ouest),Import (West),Importación (Oeste)
kTRUICatImportW,Import (West),Импорт (запад),Importation (Ouest),Import (West),Importación (Oeste)
kTRSaving,SAVING,СОХРАНЯЕМ,SAUVER,SPAREN,SALVANDO
kTRGenerating,GENERATING,СОЗДАЁМ,GÉNÉRATEUR,ERSTELLEN,GENERANDO
kTRLoading,LOADING,ЗАГРУЖАЕМ,CHARGEMENT,GELADEN,CARGANDO
kTRNewGame,%i: New Game,%i: новая игра,%i: Nouveau jeu,%i: Neues Spiel,%i: Nuevo Juego
kTRLoadDemo,Load Demo,Загрузить демо,Charger la Démo,Laden Sie Demo,Carga la Demo
kTRContinue,%i: Continue,%i: продолжить,%i: Continue,%i: Weiterspielen,%i: Continua
kTRTutDemo0,-- Factory Farming Tech Demo --,-- Factory Farming техническое демо --,-- Démo Technologique de L'agriculture Industriel --,-- Tech-Demo der Industrie Landwirtschaft --,-- Demostración de Agricultura Intensiva --
kTRTutDemo1,You're free to look around this example factory.,Можно осмотреть этот пример фабрики.,Regardez autour de cet exemple d'usine. Vous,Sie können sich in dieser beispielfabrik umsehen.,Mire alrededor de esta fábrica de ejemplo.
kTRTutDemo2,You will find facilities up to Tech Tier 3.,Тут есть строения не выше уровня 3.,trouverez des installations jusqu'au niveau,Sie finden einrichtungen bis zu Tech Tier 3. Das volle,Encontrarás instalaciones hasta el nivel tecnológico 3.
kTRTutDemo3,The full game goes up to Tech Tier 7.,Вся игра имеет 7 уровней.,technologique 3. Le jeu complet va jusqu'au niveau 7.,spiel geht auf Tech Tier 7. Bauen und einsparungen,El juego completo sube al nivel 7. Construir y guardar
kTRTutDemo4,Building and Saving are disabled in the demo.,Постройка и сохранение отключены во время демо.,La construction et la sauvegarde sont désactivées.,sind in der demo deaktiviert.,están deshabilitados en la demostración.
kTRTut0_0,-- The Initial Seed Purchase --,-- Первоначальная покупка семян --,-- L'achat Initial de Graines --,-- Der Anfängliche Kauf von Saatgut --,-- La Compra Inicial de Semillas --
kTRTut0_1,Welcome to Factory Farming! There's money to be,"Добро пожаловать в Factory Farming! Пора делать деньги,",Bienvenue à l'agriculture industrielle! Il y a de l'argent à ,Willkommen bei Factory Farming! Es gibt geld zu sein,¡Bienvenido a La Agricultura Intensiva! Hay dinero para
kTRTut0_2,"made, and it won't make itself! So let's get started by",ведь деньги сами себя не сделают! Сначала давай,"gagner fait, et ça ne se fera pas tout seul! Alors commençons","gemacht, und es wird sich nicht machen! Besuchen","ser hecho, y no se hará solo! Comienza visitando la "
kTRTut0_3,visiting the shop with Ⓐ and buying some carrot seeds,"посетим магазин, нажмём Ⓐ и купим семяна морковки.",par visiter la boutique avec Ⓐ et acheter des graines de,sie den laden und kaufen sie 10 karottensamen.,tienda con Ⓐ y compra 10 semillas de zanahoria.
kTRTut0_4,The compass (right) will always point to the shop.,Компас (справа) всегда показывает на магазин.,carottes. La boussole pointera toujours vers la boutique.,Der kompass (rechts) zeigt immer auf den laden.,La brújula (derecha) apunta a la tienda.
kTRTut0_5,"Move with the D-Pad, ✛. Zoom in & out with 🎣.",Стрелками двигаться. Крутилкой менять масштаб.,La boussole (à droite) pointera toujours vers la boutique,"Bewegen sie sich mit dem D-Pad, ✛. Zoomen sie mit ","Muévete con el D-Pad, ✛. Acercar y alejar con 🎣."
kTRTut0_6,Hold Ⓑ to run.  Go to the shop and press Ⓐ.,Держи Ⓑ для бега. Сходи в магазин и нажми Ⓐ.,"Déplacez-vous avec le D-Pad, ✛. Zoomez et dézoomez avec 🎣.",🎣. Halten sie Ⓑ zum laufen. Gehen sie in den laden,Mantén pulsado Ⓑ para correr. Ve a la tienda y 
kTRTut0_7,Buy 10 carrot seeds from the shop with Ⓐ.,Купи 10 семян моркови в магазине кнопкой Ⓐ.,Maintenez Ⓑ pour courir. Allez au boutique et appuyez sur Ⓐ.,und drücken sie Ⓐ. Kaufen sie 10 karottensamen aus,presiona Ⓐ. Compra 10 semillas de zanahoria en la 
kTRTut0_8,Press Ⓑ to exit the shop.,Нажми Ⓑ для выхода из магазина.,Achetez 10 graines de carottes au boutique avec Ⓐ,dem laden mit Ⓐ. ,tienda con Ⓐ. Presiona Ⓑ para salir de la tienda.
kTRTut1_0,-- The Next Objective --,-- Следующая цель --,-- L'Objectif Suivant --,-- Das Nächste Ziel --,-- El Siguiente Objetivo --
kTRTut1_1,Your current objective is to sell at least,Текущая цель продать как минимум,Votre objectif actuel est de vendre au moins 10 carottes.,"Ihr aktuelles ziel ist es, zumindest zu verkaufen",Tu objetivo actual es vender al menos 10 zanahorias. 
kTRTut1_2,10 carrots. You can check what your current objective,10 морковки. Текущую цель можно узнать,Vous pouvez vérifier quel est votre objectif actuel à tout,"10 karotten. Sie können überprüfen, was ihr aktuelles ",Puedes comprobar cuál es tu objetivo actual en 
kTRTut1_3,is at any time by pressing the Menu button.,в любой момент нажав кнопку Меню.,moment en appuyant sur le bouton Menu.,ziel ist wird jederzeit durch drücken der menü-taste.,cualquier momento pulsando el botón menú.
kTRTut1_4,Do this now.,"Что ж, поехали.",Faites-le maintenant.,Mach das jetzt.,Hacer esto ahora.
kTRTut1_5,Press the Menu button to see your current objective.,Нажми кнопку Меню чтобы узнать текущую цель.,Appuyez sur le bouton Menu pour voir votre objectif actuel.,"Drücken sie die menü-taste, um ihr aktuelles ziel ",Presiona el botón de menú para ver tu objetivo 
kTRTut1_6,"From here you can also save and load the game, and",Теперь можно сохранять и загружать игру и,"De là, vous pouvez également enregistrer et charger le jeu,",anzuzeigen. Von hier aus können sie auch das spiel ,actual. Desde aquí también puedes guardar y cargar
kTRTut1_7,open the main menu with game settings etc.,открывать главное меню с настройками.,"et ouvrir le menu principal avec les paramètres du jeu, etc.","speichern und laden, und öffnen sie das hauptmenü ","el juego, y abre el menú principal con la configuración"
kTRTut1_8,     ,     ,     ,mit spieleinstellungen usw.,"del juego, etc."
kTRTut2_0,-- The First Crops --,-- Первая рассада --,-- La Première Récolte --,-- Das Erste Wachstum --,-- Los Primeros Cultivos --
kTRTut2_1,"Good, carrots will grow well in the silty soil near to the","Итак, морковь будет быстро расти в илистой почве","Bonne, les carottes pousseront bien dans le sol vase près du","Guten, karotten wachsen gut im dreck boden in der",Las zanahorias crecerán bien en el suelo limoso cerca
kTRTut2_2,shop. Pay attention to the soil & water each plant likes.,рядом с магазином. Важно знать какая почва нужна,boutique. Faites attention au sol et à l'eau que chaque plante,nähe des geschäft. Achten sie auf den boden und,de la tienda. Preste atención a la tierra y el agua que 
kTRTut2_3,"Find a good nearby spot, open your inventory","каждому растению. Найди место для посадки, открой","aime. Trouvez un bon endroit à proximité, ouvrez votre inven-","wasser, das jede pflanze mag. Wählen sie mit Ⓐ die","le gusta a cada planta. Abre tu inventario con Ⓐ, "
kTRTut2_4,"with Ⓐ, select the seeds, and plant 10 carrots.",инвентарь кнопкой Ⓐ и посади 10 морковок.,"taire avec Ⓐ, sélectionnez les graines et plantez 10 carottes.",samen und pflanzen sie 10 karotten.,selecciona las semillas y planta 10 zanahorias.
kTRTut2_5,"Find a nearby area of silty soil, preferably moist.","Найди илистую почву, желательно влажную.","Trouvez une zone proche de sol vase, de préférence humide.",Finden sie eine nahe gelegene fläche mit dreck ,"Encuentre un área cercana de suelo limoso, pref-"
kTRTut2_6,"Press Ⓐ to enter your inventory, select the carrot","Нажми Ⓐ чтобы открыть инвентарь, выбери семена","Appuyez sur Ⓐ pour accéder à votre inventaire, sélect. les","boden, vorzugsweise feucht. Wählen sie die ",eriblemente húmedo. Presiona Ⓐ para ingresar a tu 
kTRTut2_7,seeds and press Ⓐ again. Plant 10 carrot seeds on,моркови и нажми Ⓐ снова. Посади 10 морковок,gra. de carottes et appuyez à nouveau sur Ⓐ. Plantez 10,karottensamen und drücken sie Ⓐ. Pflanzen sie 10 ,"inventario, selecciona las semillas de zanahoria y pres- "
kTRTut2_8,"empty patches of silty soil, then press Ⓑ.","на пустые квадраты илистой почвы, потом нажми Ⓑ.",graines de carottes sur des parcelles vides de sol vase.,karottensamen auf leere flecken aus dreck boden.,iona Ⓐ nuevamente. Planta 10 semillas de zanahoria.
kTRTut3_0,-- The First Harvest --,-- Первый урожай --,-- La Première Récolte --,-- Die Erste Ernte --,-- La Primera Cosecha --
kTRTut3_1,"Great, crops normally take some time to yield produce,","Прекрасно, урожай растёт не моментально, но давай","Génial, les cultures mettent un certain temps à cultiver, mais",Großartige. Lassen sie uns diese karottenpflanzen ,"Genial, aceleremos estas plantas de zanahoria. "
kTRTut3_2,"but let's speed up these carrot plants. Press Ⓐ, choose","соберём морковь уже сейчас. Нажми Ⓐ, выбери","accélérons ces plants de carottes. Appuyez sur Ⓐ, choisissez","beschleunigen. Drücken sie Ⓐ, wählen sie abholmodus","Presiona Ⓐ, elige el modo de recogida de carga y "
kTRTut3_3,Pickup Cargo Mode and harvest 10 grown carrots.,режим сбора и собери 10 спелых морковок. Можно,le mode de chargement de ramassage et récoltez 10 carottes.,und ernte 10 angebaute karotten. Sie können,cosecha 10 zanahorias. Puede recoger cualquier 
kTRTut3_4,"You can pickup any cargo in the world, or in buildings.",подбирать любой товар на земле/воде и в зданиях.,Ramassez des cargaison dans le monde ou dans des bâtiments.,jede fracht der welt oder in gebäuden abholen.,carga en el mundo o en edificios.
kTRTut3_5,Go to where you planted your carrot seeds.,"Пойдем туда, где растёт морковь. Нажми Ⓐ чтобы",Allez là où vous avez planté vos gra. de carot. App. sur Ⓐ pour,"Drücken sie  Ⓐ, um ihr inventar einzugeben, und ","Presione Ⓐ para ingresar a su inventario, seleccione "
kTRTut3_6,"Press Ⓐ to enter your inventory, select 'Pickup","открыть инвентарь, выбери режим сбора. Нажми","accéder à votre inv., sélectionnez le m. de cha. de ramassage.",wählen sie abholmodus. Drücken sie oder halten sie,el modo de recogida de carga. Mantén presionado Ⓐ
kTRTut3_7,"Cargo Mode'. Press or hold Ⓐ when moving, pickup 10",и держи Ⓐ во время ходьбы и собери 10 спелых,"Appuyez ou maintenez Ⓐ lorsque vous vous déplacez, ram.","Ⓐ beim umzug, abholen 10 karotten. Verwenden sie ","cuando te muevas, recoge 10 zanahorias cultivadas. "
kTRTut3_8,grown carrots. Use the 🎣 to change the pickup area.,морковок. Используй 🎣 чтобы менять радиус сбора.,10 carottes cultivées. Utilisez le 🎣 pour ch. la zone de ram.,"das 🎣, um den abholbereich zu ändern.",Usa el 🎣 para cambiar el área de recogida.
kTRTut4_0,-- The First Sale --,-- Первая продажа --,-- La Première Vente --,-- Der Erste Verkauf --,-- La Primera Venta --
kTRTut4_1,"Nice, you know what we can do with cargo like those",Супер! Знаешь что мы сделаем с этими спелыми,"Bien, tu sais ce qu'on peut faire avec des cargaisons comme","Sie wissen, was wir mit fracht wie diesen machen ",¿Sabes lo que podemos hacer con cargamentos
kTRTut4_2,fresh carrots? Sell them for a profit! Visit the sales,морковками? Продадим их за бабло! Пойдём в,ces carottes fraîches? Vendez-les pour un profit! Rendez-vous,können frische karotten? Verkaufen sie sie mit ,como esas zanahorias frescas? ¡Véndelos para
kTRTut4_3,depot (next to the shop) and press Ⓐ to access the,депо продаж (справа от магазина) и там нажми Ⓐ,au dépôt de vente et appuyez sur Ⓐ pour accéder au menu,gewinn! Besuchen sie den verkaufsdepot (neben das,obtener una ganancia! Visite el depósito de ventas y
kTRTut4_4,sales menu. Sell 10 carrots to continue.,для открытия меню продаж. Продай 10 морковок.,des ventes. Vendez 10 carottes pour continuer.,"geschäft). Verkaufe 10 karotten, um fortzufahren.",presione Ⓐ. Vende 10 zanahorias para continuar.
kTRTut4_5,Go to the sales depot (next to the shop).,Пойдём в депо продаж (справа от магазина). Нажми,Rendez-vous au dépôt de vente (à côté de la boutique).,Gehen ie zum verkaufsdepot (neben das geschäft).,Ve al depósito de ventas (junto a la tienda). Mantén 
kTRTut4_6,Press or hold Ⓐ to sell at least 10 carrots.,и держи Ⓐ чтобы продать как минимум 10 морковок.,Appuyez ou maintenez Ⓐ pour vendre au moins 10 carottes. ,"Drücken sie oder halten sie Ⓐ, um mindestens 10",presionado Ⓐ para vender al menos 10 zanahorias. 
kTRTut4_7,Change the amount sold with each press of Ⓐ by,Можно продавать больше за раз если нажать Ⓐ после ,Modifiez la quantité vendue à chaque pression sur Ⓐ ,karotten zu verkaufen. Ändern sie verkauften betrag,Cambia la cantidad vendida con cada pulsación de Ⓐ
kTRTut4_8,"turning the 🎣, or hold Ⓑ and press ⬆️ or ⬇️.","поворота 🎣, или держи Ⓑ и нажми ⬆️ или ⬇️.","en tournant le 🎣, ou maintenez Ⓑ et appuyez sur ⬆️ ou ⬇️.",durch drehen sie das 🎣 oder halten sie Ⓑ + ⬆️ od. ⬇️.,"girando 🎣, o mantén pulsado Ⓑ y pulsa ⬆️ o ⬇️."
kTRTut5_0,-- The First Automated Harvest --,-- Первый автоурожай --,-- La Première Récolte Automatisée --,-- Die Erste Automatisierte Ernte --,-- La Primera Cosecha Automatizada --
kTRTut5_1,"Sweet, but that was a lot of manual labor... Let's","Прелестно, но получается много ручной работы...","C'est gentil, mais c'était beaucoup de travail manuel... ","Süß, aber das war eine menge manueller arbeit... ",Pero eso fue mucho trabajo manual... 
kTRTut5_2,use an automatic harvester instead! Buy one from,Давай-ка лучше использовать автохарвестер! Купи,Utilisons plutôt une moissonneuse automatique! Achetez-en,Lassen sie uns automatisieren! Kaufen sie einen von ,¡Automaticemos! Compra una cosechadora en la 
kTRTut5_3,the shop and build it where some carrot plants are,его в магазине и построй его посреди грядки,un dans la boutique et construisez-le là où se trouvent des,"das geschäft und bauen sie es dort, wo es einige",tienda y constrúyela cerca de algunas plantas de 
kTRTut5_4,within its harvest catchment area.,морковок или посади морковь вокруг харвестера.,plants de carottes dans sa zone de captage de récolte.,karottenpflanzen in der nähe gibt,zanahoria.
kTRTut5_5,"Go to the the shop, buy an automatic harvester.",Пойдём в магазин за автохарвестером.,"Allez au boutique, achetez une moissonneuse automatique.","Gehen sie in das geschäft, kaufen sie einen","Ve a la tienda, compra una cosechadora automática. "
kTRTut5_6,Press Ⓐ and choose this from your inventory.,Нажми Ⓐ и выбери автохарвестер в инвентаре.,Appuyez sur Ⓐ et choisissez-le dans votre inventaire. Placez,automatischer mähdrescher. Setze sie den,Presiona Ⓐ y elige esto de tu inventario. Coloque la 
kTRTut5_7,Place the harvester such that it located on empty,Размести автохарвестер на пустом участке,la moissonneuse de manière à ce qu'elle se trouve sur un sol,"mähdrescher so, dass er sich auf leer befindet boden,",cosechadora donde las plantas de zanahoria estén 
kTRTut5_8,"soil, and carrot plants are within its harvest range.","почвы, и посади морковь вокруг.",vide et que les plants de carot. se tro. dans sa plage de récolte.,und karottenpflanzen sind in der nähe.,dentro de su rango de cosecha.
kTRTut6_0,-- The First Cargo Line --,-- Первый конвейер --,-- La Première Ligne de Chargement --,--- Die Erste Frachtlinie --,-- La Primera Línea de Carga --
kTRTut6_1,"Good, we're harvesting carrots. But we need to get them","Отлично, мы собираем морковь, но нам надо доставить","Bien, nous récoltons des carottes. Mais nous devons les","Gut, wir ernten karotten. Aber wir müssen sie ","Bien, estamos cosechando zanahorias. Pero tenemos"
kTRTut6_2,to the sales depot. We need conveyor belts! Buy around,её в депо продаж. Для этого нужна конвейерная лента.,amener au dépôt de vente. Nous avons besoin de bandes!,bekommen zum verkaufsdepot. Wir brauchen ,que llevarlos a las ventas. ¡Necesitamos cintas trans-
kTRTut6_3,50 from the shop and lay the path to move & sell,Купи 50 кусков ленты в магазине и проложи конвейер,Achetez-en environ 50 dans la boutique et tracez le chemin,förderbänder! Umkaufen 50 aus das geschäft und ,portadoras! Compra 50 y coloca un camino para trans-
kTRTut6_4,the carrots. Rotate belt pieces with 🎣 or Ⓑ + ✛.,от грядки до депо. Ленту можно вращать 🎣 или Ⓑ+✛,pour dépl. et vendre les carottes. Tourner a. 🎣 ou Ⓑ + ✛.,"setze sie den weg, um die karotten zu verkaufen.",portar las zanahorias. Gire los cinturones con 🎣 o Ⓑ+✛.
kTRTut6_5,"Go to the the shop, buy around 50 conveyor belts.",Давай купим 50 кусков конвейерной ленты в,"Allez au boutique , achetez environ 50 bandes transporteuses.","Gehen sie in das geschäft, kaufen sie rund 50 ","Ve a la tienda, compra 50 cintas transportadoras. "
kTRTut6_6,Press Ⓐ and choose these from your inventory.,магазине. Нажми Ⓐ и выбери ленту в инвентаре.,Appuyez sur Ⓐ et choisissez-les dans votre inventaire.,förderbande. Machen sie eine kette von bande vom ,Haga una cadena de cintas desde la cosechadora 
kTRTut6_7,Make a chain of belts from the automatic harvester to,Построй ленту от автохарвестера до депо,Faites une chaîne de bandes de la moisson. auto. aux ventes.,mähdrescher bis verkaufsdepot. Drehen sie die ,"automática hasta las ventas. Gire los cintas con 🎣,"
kTRTut6_8,"sales. Rotate belts with 🎣, or hold Ⓑ and press ✛.",продаж. Вращать куски ленты можно 🎣 или Ⓑ + ✛.,"Tourner avec 🎣, ou maintenez Ⓑ et appuyez sur ✛.",bande mit 🎣 oder halten sie Ⓑ und drücken sie ✛.,o mantenga presionada Ⓑ y presione ✛.
kTRTut7_0,-- Mining The Earth --,-- Подземная добыча --,-- Miner la Terre --,-- Bergbau der Erde --,-- Minar la Tierra --
kTRTut7_1,OK. But not all exploitable resources are grown.,"Это всё прекрасно, но не все ресурсы растут на земле.",OK. Mais toutes les ressources exploit. ne sont pas cultivées.,OK. Aber nicht alle aus nutzbaren ressourcen werden,Pero no todos los recursos explotables se cultivan.
kTRTut7_2,"Some are dug up, or pumped out. Let's build a chalk",Некоторые нужно выкапывать или выкачивать. Давай,Certains sont déterrés ou pompés. Construisons ensuite une,angebaut. Lass uns bauen uns eine kreide steinbruch,"A continuación, construyamos una cantera de tiza. "
kTRTut7_3,quarry next. Buy one from the shop and build it on,построим меловый карьер. Купи его в магазине и,carrière de craie. Achetez-en un au boutique et construisez-le,als nächstes. Bauen sie es auf kalkartig boden.,Compra uno en la tienda y constrúyelo en suelo 
kTRTut7_4,chalky soil. There should be some to the north.,построй на меловой почве. Она есть на севере.,sur un sol calcaire. Il devrait y en avoir au nord.,Es sollte einige im norden geben.,calcáreo. Debería haber algunos al norte.
kTRTut7_5,"Go to the the shop, buy a chalk quarry.",Сходи в магазин и купи меловый карьер.,"Allez au boutique, achetez une carrière de craie. Appuyez","Gehen sie in das geschäft, kaufen sie einen kreide","Ve a la tienda, compra una cantera de tiza. Presiona "
kTRTut7_6,Press Ⓐ and choose this from your inventory.,Нажми Ⓐ и выбери в инвентаре. Пойдём,sur Ⓐ et choisissez-le dans votre inventaire. Allez au ,steinbruch. Gehen sie aus dem laden nach norden,Ⓐ y elige esto de tu inventario. Ve hacia el norte 
kTRTut7_7,Go north from the shop and look for chalky soil.,на север и найдём меловую почву. Расположи ,nord de la boutique et cherchez un sol calcaire.,und suchen sie nach kalkartig boden. Baue den ,desde la tienda y busca tierra calcárea. Coloque la 
kTRTut7_8,Place the quarry on at least one chalky soil tile.,карьер хотя бы на одном квадрате меловой почвы.,Placez la carrière sur au moins une dalle de sol crayeux.,steinbruch auf kalkartig boden.,cantera en al menos una loseta de suelo calcáreo.
kTRTut8_0,-- Manufacturing Value --,-- Серьёзное производство --,-- Valeur de Fabrication --,-- Wert Machen --,-- Valor de Fabricación --
kTRTut8_1,Nice. We can finally set up a full production line!,Отлично. А теперь мы соберём полноценное произ-,Bon. Nous pouvons enfin mettre en place une ligne de,Wir können endlich eine vollständige produktionslinie,¡Ahora podemos configurar una línea de producción 
kTRTut8_2,"Buy a vitamin factory from the shop, supply it with",водство! Купи фабрику витаминов и настрой доставку,production complète! Achetez une usine de vitamines dans la,einrichten! Kaufen sie eine vitaminfabrik aus das ,"completa! ¡Compre una fábrica de vitaminas, "
kTRTut8_3,"both chalk and carrots, and transport the vitamins","моркови и мела при помощи конвейера, а витамины","boutique, fournissez-lui de la craie et des carottes, et transp.",geschäft. Versorge es mit kreide und karotten und,suministre tiza y zanahorias y transporte las vitaminas
kTRTut8_4,to the sales depot for a much bigger profit!,направь в депо продаж чтобы заработать денег!,les vitamines au dépôt de vente pour un grand bénéfice!,transportieren die vitamine zum verkaufsdepot.,al depósito de ventas para obtener ganancias!
kTRTut8_5,"Go to the the shop, buy a vitamin factory.","Зайди в магазин, купи фабрику витаминов.","Allez au boutique, achetez une usine de vitamines.","Gehen Sie in das geschäft, kaufen Sie eine","Ve a la tienda, compra una fábrica de vitaminas."
kTRTut8_6,Place it in a good spot. Use conveyor belts to,"Расположи её где-нибудь, направь в неё морковь",Placez-le dans un bon endroit. Utilisez des bandes pour,"vitaminfabrik. Verwenden sie förderbänder, um es ",Utilice cintas transportadoras para suministrarle 
kTRTut8_7,supply it with carrots and chalk. Use more belts,и мел. Для транспортировки витаминов в депо,l'approvisionner en carottes et en craie. Utilisez plusieurs,mit karotten und kreide zu versorgen. Verkaufen sie ,zanahorias y tiza. Use más cinturones para 
kTRTut8_8,to transport the vitamins to the sales depot.,продаж построй конвейерную ленту.,bandes pour transporter les vitamines jusqu'au d. de vente.,die vitamine mit mehr förderbändern.,transportar las vitaminas al depósito de ventas.
kTRTut9_0,-- Go Forth And Consume --,-- Вперёд к новым производствам --,-- Allez de l'Avant et Consommez --,-- Geh Haus und Verbrauch --,-- Sal y Consume --
kTRTut9_1,Excellent! You now know all the basics of exploiting,Великолепно! Теперь ты знаешь все основы как пол-,Bonne! Vous connaissez maint. toutes les bases de l'exploit.,Exzellent! Sie kennen jetzt alle grundlagen der ,Ahora conoce todos los conceptos básicos para explotar 
kTRTut9_2,"the world for profit. As your bank account swells,","учать прибыль. Теперь твой баланс растёт, а дальше",du monde à des fins lucratives. Au fur et à mesure que votre,ausbeutung die welt für gewinn. Weitere pflanzen ,el mundo con fines de lucro. A medida que aumente
kTRTut9_3,"more crops, factories, and other items will unlock.","будет больше рассады, фабрик и денег. Исполь-","compte bancaire gonfle, plus de cultures et d'usines va",und fabriken werden freigeschaltet. Verwenden sie ,"su cuenta bancaria, se desbloquearán más cultivos y"
kTRTut9_4,"Use them to maximize profit, maximize efficiency.",зуй всё возможное чтобы увеличивать прибыль.,"débloquer. Maximiser les profits, maximiser l'efficacité!","sie, um gewinne und effizienz zu maximieren.",fábricas. ¡Úselos para maximizar las ganancias!
kTRTut10_0,-- But I Don't Have The Soil For That! --,-- Что делать если почва не подходит? --,-- Mais Je n'ai Pas le Sol Pour Ça! --,-- Aber Ich Habe Nicht den Boden Dafür! --,-- ¡Pero No Tengo el Suelo Para Eso! --
kTRTut10_1,Problem. The cactus plant you just unlocked wants,"Беда. Кактусу нужна песчаная почва, а тут такой",Problème. Le cactus que vous venez de débloquer,"Problem. Die kaktuspflanze, die sie gerade entsperrt ",Problema. La planta de cactus que acabas de 
kTRTut10_2,"sandy soil, but there isn't any here. Expansion time!",нет. Значит время для расширения!,"veut un sol sablonneux, mais il n'y en a pas ici. Temps","braucht sander boden, aber hier gibt es keine. ","desbloquear quiere tierra arenosa, pero no hay "
kTRTut10_3,Visit the plots depot (next to sales) and buy a new,Пойдём в депо участков и купим новый участок,d'expansion! Visitez le dépôt de terrain (à côté des,Erweiterungszeit! Besuchen sie das grundstücke depot,ninguna aquí. ¡Tiempo de expansión! Visite el depósito
kTRTut10_4,plot of land to develop.,земли для производства.,ventes) et achetez un nouveau terrain à aménager.,"und kaufen sie neues land, um es zu entwickeln.",de tierra y compre un nuevo terreno para desarrollar.
kTRTut10_5,"The plots depot, exports depot and","Депо участков, депо экспорта и","Le dépôt des terrain, le dépôt des exportations et le","Das depot für grundstück, für frachtimporte und für ","Las tierra, el depósito de exportaciones e "
